,PRICE,PRICE_CAP,VOLUME24,CIRCULATION,PERCENT_chg
Binance USD,$1.00,$1.00,"$246,037,989","160,550,838 BUSD *",0.22%
Lisk,$1.27,$1.27,"$3,815,507","125,033,370 LSK *",-0.69%
Bitcoin Diamond,$0.841657,$0.841657,"$11,908,501","186,492,898 BCD",-1.76%
Enjin Coin,$0.187373,$0.187373,"$12,146,583","821,201,679 ENJ *",5.50%
Loopring,$0.131218,$0.131218,"$22,120,358","1,112,733,458 LRC *",6.69%
The Midas Touch Gold,$0.034236,$0.034236,"$40,235,136","4,255,459,988 TMTG *",10.39%
Ravencoin,$0.020934,$0.020934,"$11,528,938","6,744,430,000 RVN",-1.61%
Nano,$1.01,$1.01,"$8,478,642","133,248,297 NANO *",-1.80%
Bancor,$1.95,$1.95,"$68,634,560","69,148,529 BNT *",-3.98%
Swipe,$2.03,$2.03,"$112,779,800","65,982,752 SXP *",12.22%
Siacoin,$0.003167,$0.003167,"$2,193,056","41,817,047,634 SC",-0.21%
Holo,$0.000783,$0.000783,"$9,107,154","165,887,850,926 HOT *",1.42%
HUSD,$0.999830,$0.999830,"$21,188,731","128,822,318 HUSD *",0.15%
Flexacoin,$0.004493,$0.004493,"$169,335","28,625,000,000 FXC *",-4.31%
DxChain Token,$0.002513,$0.002513,"$913,450","50,000,000,000 DX *",-2.24%
Nexo,$0.222152,$0.222152,"$5,872,766","560,000,011 NEXO *",-2.07%
Terra,$0.321881,$0.321881,"$7,500,481","385,291,296 LUNA *",-0.91%
MonaCoin,$1.88,$1.88,"$7,143,570","65,729,675 MONA",-3.84%
Bytom,$0.089839,$0.089839,"$18,164,603","1,311,626,294 BTM",-1.60%
ZB Token,$0.247661,$0.247661,"$9,747,674","463,288,810 ZB *",-1.27%
Nervos Network,$0.005669,$0.005669,"$4,740,865","20,169,227,618 CKB *",3.03%
Divi,$0.059443,$0.059443,"$277,468","1,820,261,413 DIVI",-0.12%
Celsius,$0.449286,$0.449286,"$1,466,112","238,863,520 CEL *",5.49%
Band Protocol,$4.93,$4.93,"$26,207,658","20,494,033 BAND *",20.50%
Verge,$0.006035,$0.006035,"$2,370,834","16,336,699,343 XVG",0.00%
Blockstack,$0.183670,$0.183670,"$2,674,330","531,859,649 STX *",2.94%
iExec RLC,$1.17,$1.17,"$6,608,934","80,070,793 RLC *",8.65%
Ocean Protocol,$0.267686,$0.267686,"$6,772,474","347,937,273 OCEAN *",3.31%
Status,$0.026654,$0.026654,"$16,022,605","3,470,483,788 SNT *",-0.27%
Aurora,$0.013916,$0.013916,"$8,480,604","6,542,330,148 AOA *",11.02%
Kava.io,$2.65,$2.65,"$21,226,713","33,485,395 KAVA *",8.47%
Horizen,$8.83,$8.83,"$5,248,466","9,648,350 ZEN",-0.34%
Quant,$7.04,$7.04,"$2,242,370","12,072,738 QNT *",-5.89%
IOST,$0.005593,$0.005593,"$41,236,086","15,084,722,190 IOST *",0.01%
MCO,$5.23,$5.23,"$79,515,868","15,793,831 MCO *",-4.64%
Energy Web Token,$11.97,$11.97,"$2,467,223","6,719,731 EWT *",-4.15%
Reserve Rights,$0.011725,$0.011725,"$7,013,546","6,849,999,000 RSR *",-3.94%
Aragon,$2.46,$2.46,"$608,136","32,480,881 ANT *",-1.95%
SwissBorg,$0.110693,$0.110693,"$1,051,748","715,981,686 CHSB *",1.34%
Komodo,$0.645820,$0.645820,"$3,146,267","121,087,587 KMD",-1.45%
THORChain,$0.492935,$0.492935,"$2,686,277","158,432,088 RUNE *",7.19%
